Inode-Jnode,Inode,Jnode,Direction,Rdwy,Cross Steet1,Cross Steet2
2441-3019,2441,3019,North,Hwy 62,Delta Waters,Entrance to King Center
1200-1913,1200,1913,North,ByPass,I5 Interchange,Vilas
